tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier
N673AW,AIRBUS,A320-232,A320,2004.0,2007.0,IAE,V2527-A5,AA
N673AA,AIRBUS,A320-232,A320,2004.0,2007.0,IAE,V2527-A5,AA
N174US,AIRBUS,A321-211,A321,2001.0,2001.0,CFM INTL,CFM56-5B,AA
N174AA,AIRBUS,A321-211,A321,2001.0,2001.0,CFM INTL,CFM56-5B,AA
N177US,AIRBUS,A321-211,A321,2001.0,2015.0,CFM INTL,CFM56-5B,AA
N177AA,AIRBUS,A321-211,A321,2001.0,2015.0,CFM INTL,CFM56-5B,AA
N181UW,AIRBUS,A321-211,A321,2001.0,2015.0,CFM INTL,CFM56-5B,AA
N181AA,AIRBUS,A321-211,A321,2001.0,2015.0,CFM INTL,CFM56-5B,AA
N194UW,AIRBUS,A321-211,A321,2008.0,2015.0,CFM INTL,CFM56-5B,AA
N194AA,AIRBUS,A321-211,A321,2008.0,2015.0,CFM INTL,CFM56-5B,AA
N971UY,AIRBUS,A321-231,A321,2014.0,2015.0,IAE,V2533-A5,AA
N971AA,AIRBUS,A321-231,A321,2014.0,2015.0,IAE,V2533-A5,AA
N271AY,AIRBUS,A330-323,A330-300,2006.0,2015.0,P & W,PW4168A,AA
N271AA,AIRBUS,A330-323,A330-300,2006.0,2015.0,P & W,PW4168A,AA
N945UW,EMBRAER,ERJ 190-100 IGW,E190,2006.0,2015.0,GE,CF34-10E,AA
N945AA,EMBRAER,ERJ 190-100 IGW,E190,2006.0,2015.0,GE,CF34-10E,AA
N251AK,BOEING,737-990ER,737-900ER,2016.0,2016.0,CFM INTL,CFM56-7B,AS
N729JB,AIRBUS,A320-232,A320,2008.0,2008.0,IAE,V2527-A5,B6
N238JB,EMBRAER,ERJ 190-100 IGW,E190,2006.0,2006.0,GE,CF34-10E,B6
N991AT,BOEING,717-200,717-200,2002.0,2002.0,ROLLS-ROYC,BR700-715,DL
N983AT,BOEING,717-200,717-200,2005.0,2005.0,ROLLS-ROYC,BR700-715,DL
N301DQ,BOEING,737-732,737-700,2008.0,2008.0,CFM INTL,CFM56-7B,DL
N871DN,BOEING,737-932ER,737-900ER,2017.0,2017.0,CFM INTL,CFM56-7B,DL
N876DN,BOEING,737-932ER,737-900ER,2017.0,2017.0,CFM INTL,CFM56-7B,DL
N705TW,BOEING,757-231,757-200,1997.0,2013.0,P & W,PW2037,DL
N667DN,BOEING,757-232,757-200,1991.0,2011.0,P & W,PW2037,DL
N659DL,BOEING,757-232,757-200,1990.0,2017.0,P & W,PW2037,DL
N618DL,BOEING,757-232,757-200,1986.0,2016.0,P & W,PW2037,DL
N635DL,BOEING,757-232,757-200,1988.0,2017.0,P & W,PW2037,DL
N687DL,BOEING,757-232,757-200,1998.0,1998.0,P & W,PW2037,DL
N155DL,BOEING,767-3P6ER,767-300ER,1991.0,1997.0,GE,CF6-80C2,DL
N156DL,BOEING,767-3P6ER,767-300ER,1991.0,1997.0,GE,CF6-80C2,DL
N345NB,AIRBUS,A319-114,A319,2002.0,2009.0,CFM INTL,CFM56-5A,DL
N331NB,AIRBUS,A319-114,A319,2001.0,2009.0,CFM INTL,CFM56-5A,DL
N813NW,AIRBUS,A330-323,A330-300,2006.0,2009.0,P & W,PW4168A,DL
N950DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2013.0,IAE,V2528-D5,DL
N953DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1996.0,2011.0,IAE,V2528-D5,DL
N907EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV
N906EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV
N852AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N755EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N752EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N611QX,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N12528,EMBRAER,EMB-135LR,ERJ135,2001.0,2002.0,ROLLS-ROYC,AE3007A,EV
N18557,EMBRAER,EMB-145LR,ERJ145,2002.0,2002.0,ROLLS-ROYC,AE3007A,EV
N15574,EMBRAER,EMB-145LR,ERJ145,2002.0,2018.0,ROLLS-ROYC,AE3007A,EV
N15555,EMBRAER,EMB-145LR,ERJ145,2002.0,2018.0,ROLLS-ROYC,AE3007A,EV
N14558,EMBRAER,EMB-145LR,ERJ145,2002.0,2002.0,ROLLS-ROYC,AE3007A,EV
N583HA,BOEING,767-33AER,767-300ER,2002.0,2010.0,P & W,PW4060,HA
