tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier,number_of_seats
N967UW,EMBRAER,ERJ 190-100 IGW,E190,2008.0,2015.0,GE,CF34-10E,AA,99.0
N976UY,AIRBUS,A321-231,A321,2012.0,2012.0,IAE,V2533-A5,AA,187.0
N287AY,AIRBUS,A330-243,A330-200,2013.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA,247.0
N281AY,AIRBUS,A330-243,A330-200,2009.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA,247.0
N832AW,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA,128.0
N940UW,BOEING,757-2B7,757-200,1995.0,2017.0,ROLLS-ROYC,RB211-535E4,AA,188.0
N647AW,AIRBUS,A320-232,A320,1997.0,2007.0,IAE,V2527-A5,AA,150.0
N128UW,AIRBUS,A320-214,A320,2010.0,2015.0,CFM INTL,CFM56-5B,AA,150.0
N173US,AIRBUS,A321-211,A321,2001.0,2001.0,CFM INTL,CFM56-5B,AA,187.0
N276AY,AIRBUS,A330-323,A330-300,2001.0,2005.0,P & W,PW4168A,AA,291.0
N290AY,AIRBUS,A330-243,A330-200,2013.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA,247.0
N277AY,AIRBUS,A330-323,A330-300,2001.0,2015.0,P & W,PW4168A,AA,291.0
N972UY,AIRBUS,A321-231,A321,2009.0,2015.0,IAE,V2533-A5,AA,187.0
N713UW,AIRBUS,A319-112,A319,1999.0,1999.0,CFM INTL,CFM56-5B,AA,128.0
N803NW,AIRBUS,A330-323,A330-300,2003.0,2009.0,P & W,PW4168A,DL,293.0
N171DN,BOEING,767-332ER,767-300ER,1990.0,1990.0,P & W,PW4060,DL,211.0
N173DZ,BOEING,767-332ER,767-300ER,1998.0,1998.0,GE,CF6-80C2,DL,211.0
N810NW,AIRBUS,A330-323,A330-300,2005.0,2009.0,P & W,PW4168A,DL,293.0
